iter	Passed	Remaining
412	1206	254
413	1208	251
414	1211	248
415	1213	245
416	1215	241
417	1218	238
418	1220	235
419	1222	232
420	1225	229
421	1227	226
422	1230	223
423	1232	220
424	1235	217
425	1237	215
426	1240	212
427	1242	209
428	1245	206
429	1248	203
430	1250	200
431	1253	197
432	1255	194
433	1258	191
434	1261	188
435	1263	185
436	1266	182
437	1268	179
438	1271	176
439	1274	173
440	1276	170
441	1279	167
442	1281	164
443	1284	161
444	1286	159
445	1289	156
446	1291	153
447	1294	150
448	1296	147
449	1299	144
450	1302	141
451	1305	138
452	1308	135
453	1310	132
454	1313	129
455	1315	126
456	1318	124
457	1321	121
458	1323	118
459	1326	115
460	1328	112
461	1331	109
462	1333	106
463	1335	103
464	1338	100
465	1340	97
466	1343	94
467	1345	92
468	1348	89
469	1350	86
470	1353	83
471	1355	80
472	1357	77
473	1360	74
474	1363	71
475	1365	68
476	1368	65
477	1370	63
478	1373	60
479	1375	57
480	1378	54
481	1380	51
482	1383	48
483	1385	45
484	1388	42
485	1390	40
486	1393	37
487	1395	34
488	1398	31
489	1401	28
490	1403	25
491	1405	22
492	1408	19
493	1410	17
494	1413	14
495	1416	11
496	1418	8
497	1421	5
498	1423	2
499	1426	0
