iter	Logloss
0	0.5820535799
1	0.5380752688
2	0.4563960254
3	0.4255746671
4	0.4004881944
5	0.3777457136
6	0.3602438826
7	0.3202992571
8	0.305287555
9	0.2922982007
10	0.2647061852
11	0.241434547
12	0.235732598
13	0.2307745771
14	0.2262499274
15	0.2112674248
16	0.1998042285
17	0.1969221472
18	0.193957166
19	0.1914062035
20	0.1894434332
21	0.1865496442
22	0.1841297925
23	0.1820777335
24	0.1803611507
25	0.1795316246
26	0.177308447
27	0.1714267421
28	0.1675401703
29	0.1659986915
30	0.1647867963
31	0.1604960217
32	0.1597260576
33	0.1593720971
34	0.15569262
35	0.1548440825
36	0.1537365797
37	0.152622502
38	0.151999962
39	0.1511516106
40	0.1500888297
41	0.1475857215
42	0.1456738604
43	0.1439317223
44	0.1423000863
45	0.1418427878
46	0.1410581387
47	0.1406195726
48	0.1401569708
49	0.1392096543
50	0.1381465012
51	0.1368056041
52	0.1361727211
53	0.1357971595
54	0.1345043648
55	0.1336638443
56	0.1333596454
57	0.1328918798
58	0.1326454597
59	0.131967436
60	0.1310071247
61	0.130672889
62	0.1297757374
63	0.1293116934
64	0.1283384571
65	0.1275742539
66	0.1271477598
67	0.12649754
68	0.1258144766
69	0.1252196087
70	0.1249568521
71	0.1242193982
72	0.1238216307
73	0.1235421964
74	0.1230066889
75	0.1225557637
76	0.1222729799
77	0.1218364374
78	0.1213660667
79	0.1209938546
80	0.1208369713
81	0.1204054763
82	0.1200426924
83	0.1194291464
84	0.11895738
85	0.1185210623
86	0.1183440123
87	0.1181040353
88	0.1177411118
89	0.1170489924
90	0.1165701471
91	0.1161537403
92	0.1158156666
93	0.1154757089
94	0.115056348
95	0.1146153706
96	0.1143706174
97	0.1138987813
98	0.1134663248
99	0.1132002109
100	0.112922211
101	0.1124977484
102	0.111959659
103	0.1114051788
104	0.1109816233
105	0.1103858327
106	0.1100473559
107	0.1098397728
108	0.1092539919
109	0.1088197755
110	0.1084614498
111	0.1080505402
112	0.1076633484
113	0.1072934158
114	0.1069156523
115	0.1065152641
116	0.1060751008
117	0.1058196401
118	0.1054072962
119	0.1052086373
120	0.1049534557
121	0.1047585495
122	0.104373707
123	0.1040300664
124	0.1034013469
125	0.1029661225
126	0.1026614895
127	0.1022969998
128	0.10199629
129	0.1016852449
130	0.101350195
131	0.1010689929
132	0.1008844143
133	0.1005837588
134	0.1001075109
135	0.09973437612
136	0.09957973356
137	0.09918161718
138	0.09879728643
139	0.0986831634
140	0.09838204268
141	0.09807714602
142	0.09774504251
143	0.09755643209
144	0.09712022301
145	0.09674568486
146	0.09644668858
147	0.09614153606
148	0.09586824247
149	0.095481733
150	0.09529637903
151	0.0950216588
152	0.09461861122
153	0.09444581009
154	0.09423762996
155	0.09363461316
156	0.09334078068
157	0.09307390694
158	0.0928557016
159	0.09265798088
160	0.09243335569
161	0.09224507091
162	0.09199951141
163	0.09157410288
164	0.09128303838
165	0.09097511788
166	0.09069543544
167	0.0904610409
168	0.09018702623
169	0.0897444128
170	0.08945362742
171	0.08907484039
172	0.08880488853
173	0.08867431268
174	0.08834579902
175	0.08806653527
176	0.08774580607
177	0.08761307476
178	0.08724628231
179	0.08696290923
180	0.08659772175
181	0.08639103029
182	0.0861065097
183	0.08581077762
184	0.08559782137
185	0.08525981748
186	0.08505789439
187	0.08474331367
188	0.0844480468
189	0.08418209572
190	0.0838926672
191	0.08371959469
192	0.08348706098
193	0.08327839239
194	0.08302112517
195	0.08274477672
196	0.08245990722
197	0.08217827091
198	0.08192445398
199	0.08164965622
200	0.08141038476
201	0.08114634878
202	0.08094654238
203	0.08069554771
204	0.08047738114
205	0.08034689058
206	0.08012309501
207	0.07991648108
208	0.07968992528
209	0.07948270658
210	0.07928268309
211	0.07910074063
212	0.07886022862
213	0.07863035435
214	0.07843339346
215	0.07816087521
216	0.07791079544
217	0.07768589888
218	0.07739545465
219	0.07719398126
220	0.07697861369
221	0.07676701429
222	0.07656688225
223	0.07631039813
224	0.0759944373
225	0.07579781757
226	0.07561197513
227	0.07547200211
228	0.07526959055
229	0.0750465238
230	0.07487151293
231	0.0746844377
232	0.0745275699
233	0.07429411353
234	0.07413088791
235	0.07393655544
236	0.07375546587
237	0.07366146305
238	0.07347422499
239	0.07332754523
240	0.07318851812
241	0.0730835209
242	0.07270439272
243	0.07242383414
244	0.07226961027
245	0.07213947637
246	0.07204948984
247	0.07185942952
248	0.07167202089
249	0.07152915582
250	0.07136821747
251	0.07119831612
252	0.07108140961
253	0.07088817814
254	0.07063205068
255	0.07036583598
256	0.07021828008
257	0.0700453704
258	0.06989416262
259	0.06966516448
260	0.06951680222
261	0.06939545298
262	0.06923559235
263	0.06911021907
264	0.06897873607
265	0.06889970516
266	0.06871573906
267	0.06852753957
268	0.06831860736
269	0.06823010949
270	0.0680232552
271	0.06775886257
272	0.06755894762
273	0.06742280479
274	0.06727783079
275	0.06708583212
276	0.06697797388
277	0.06683879945
278	0.06666228442
279	0.06658682784
280	0.06643562007
281	0.0662990353
282	0.06615862808
283	0.06605183981
284	0.06599189014
285	0.06585922861
286	0.06580619502
287	0.0656813102
288	0.06553954613
289	0.06544359719
290	0.06533486281
291	0.06524397687
292	0.06512717891
293	0.06490675996
294	0.06470622086
295	0.06458541436
296	0.06443201236
297	0.06430002538
298	0.06415524134
299	0.064075815
300	0.06398624715
301	0.06393704763
302	0.06381762512
303	0.06371107722
304	0.06362006722
305	0.06353079013
306	0.06343995846
307	0.06328055141
308	0.06316866138
309	0.06310469154
310	0.06299176643
311	0.06283193681
312	0.06267387886
313	0.0624639232
314	0.06235107949
315	0.06224616369
316	0.06210302337
317	0.06197237775
318	0.06186237568
319	0.06160708947
320	0.06146631784
321	0.06140175486
322	0.06127466031
323	0.06112843025
324	0.06099679218
325	0.06091649746
326	0.06082476639
327	0.06072770095
328	0.06064436688
329	0.0605314689
330	0.06037140668
331	0.06019174762
332	0.06010811503
333	0.05997140621
334	0.05982710675
335	0.05977439105
336	0.05966047737
337	0.05952505561
338	0.05943730982
339	0.05937280112
340	0.05927265756
341	0.05923221557
342	0.05900427966
343	0.05888969918
344	0.05880521759
345	0.05866174775
346	0.05857112931
347	0.05850097997
348	0.05842229021
349	0.05834006488
350	0.05823026828
351	0.05817112496
352	0.05802081659
353	0.05793424157
354	0.05782810459
355	0.05777145789
356	0.05764136276
357	0.05750731336
358	0.0574185131
359	0.0573425448
360	0.05724462649
361	0.0570505809
362	0.05699570198
363	0.05691879164
364	0.05680899891
365	0.05672088483
366	0.05666885531
367	0.0565455522
368	0.05649111523
369	0.05640658712
370	0.0563400664
371	0.05623710446
372	0.05606346983
373	0.05598138018
374	0.05592598179
375	0.0558279743
376	0.05566364381
377	0.05560066254
378	0.05549171107
379	0.05542422892
380	0.05532678744
381	0.0552359015
382	0.05519464152
383	0.05510175131
384	0.05498285216
385	0.05493026826
386	0.05480804288
387	0.05474381718
388	0.05469336161
389	0.05464619737
390	0.05453685823
391	0.05449829257
392	0.05440145973
393	0.05431651681
394	0.05426902693
395	0.05423246554
396	0.05410357995
397	0.05401082155
398	0.05394681295
399	0.05389777625
400	0.05380876665
401	0.05374423081
402	0.0536858202
403	0.05353572892
404	0.05345489921
405	0.05332417217
406	0.05325246051
407	0.05309138259
408	0.05304748256
409	0.05286419101
410	0.05282159743
411	0.05268907547
412	0.05264621052
413	0.05253909274
414	0.05248712912
415	0.05242644674
416	0.05239199429
417	0.05230974182
418	0.05219500239
419	0.05215453326
420	0.05201678547
421	0.0519711099
422	0.05189002432
423	0.05180643438
424	0.05166379417
425	0.05155800222
426	0.05143091931
427	0.05130380925
428	0.05122246781
429	0.05114744543
430	0.05096962781
431	0.05086293259
432	0.05082839873
433	0.05071386089
434	0.05061006158
435	0.05044942174
436	0.05036882075
437	0.05032358712
438	0.05022836313
439	0.0501709721
440	0.05009673669
441	0.0500194503
442	0.04995249927
443	0.04988814951
444	0.04980776562
445	0.04972181088
446	0.0496494867
447	0.04958911058
448	0.04955252205
449	0.04944289603
450	0.04939702662
451	0.04929554172
452	0.049252638
453	0.04919621615
454	0.0491206549
455	0.04897516917
456	0.04892201928
457	0.04888574864
458	0.04873371512
459	0.04866784569
460	0.04861861516
461	0.0485480859
462	0.04847888636
463	0.04843900262
464	0.04829754868
465	0.04825000453
466	0.04820905081
467	0.04814513137
468	0.04809526893
469	0.04803926576
470	0.04800129712
471	0.04795187663
472	0.04789802117
473	0.04776629781
474	0.04772250245
475	0.04763188401
476	0.04757966065
477	0.04750600675
